,RAW,FREQ,FULL_NAME,ADDRESS,LOC_TYPE,STREET,CITY,STATE,ZIP,COUNTY_SYSTEM,STATUS,
138,SCENE 1320 W 74,2,,,,,,,,,,
139,SCENE 13200 S C,2,,,,,,,,,,
140,SCENE 136 E. 11,2,,,,,,,,,,
141,SCENE 13648 S.,2,,,,,,,,,,
142,SCENE 140 S. DE,2,,,,,,,,,,
143,SCENE 1433 W 13,2,,,,,,,,,,
144,SCENE 1455 W CO,2,,,,,,,,,,
145,SCENE 1506 WEST,2,,,,,,,,,,
146,SCENE 15112 MYR,2,,,,,,,,,,
147,SCENE 1520 S CH,2,,,,,,,,,,
148,SCENE 1521 W 61,2,,,,,,,,,,
149,SCENE 15300 S.,2,,,,,,,,,,
150,SCENE 1578 WENT,2,,,,,,,,,,
151,SCENE 158TH AND,2,,,,,,,,,,
152,SCENE 1648 W 44,2,,,,,,,,,,
153,SCENE 1755 E 71,2,,,,,,,,,,
154,SCENE 17760 COU,2,,,,,,,,,,
155,SCENE 18 E 19TH,2,,,,,,,,,,
156,SCENE 1800 W AU,2,,,,,,,,,,
157,SCENE 1819 SYCA,2,,,,,,,,,,
158,SCENE 1837 CANA,2,,,,,,,,,,
159,SCENE 1901 GEOR,2,,,,,,,,,,
160,SCENE 1936 W WA,2,,,,,,,,,,
161,SCENE 19460 GLE,2,,,,,,,,,,
162,SCENE 2030 WEST,2,,,,,,,,,,
163,SCENE 21252 S.,2,,,,,,,,,,
164,SCENE 2215 E 87,2,,,,,,,,,,
165,SCENE 2222 S KI,2,,,,,,,,,,
166,SCENE 2238 W 54,2,,,,,,,,,,
167,SCENE 226 E. 47,2,,,,,,,,,,
168,SCENE 22642 BRO,2,,,,,,,,,,
169,SCENE 2414 W BY,2,,,,,,,,,,
170,SCENE 2415 N MO,2,,,,,,,,,,
171,SCENE 2419 S CH,2,,,,,,,,,,
172,SCENE 2432 W. 5,2,,,,,,,,,,
173,SCENE 2450 W MO,2,,,,,,,,,,
174,SCENE 24TH AND,2,,,,,,,,,,
175,SCENE 255 W 69T,2,,,,,,,,,,
176,SCENE 2637 E 10,2,,,,,,,,,,
177,SCENE 2654 S. D,2,,,,,,,,,,
178,SCENE 289 W 154,2,,,,,,,,,,
179,SCENE 2961 S DE,2,,,,,,,,,,
180,SCENE 3037 SUSS,2,,,,,,,,,,
181,SCENE 308 154TH,2,,,,,,,,,,
182,SCENE 3100 W. 4,2,,,,,,,,,,
183,SCENE 3121 W JE,2,,,,,,,,,,
184,SCENE 3121 W. D,2,,,,,,,,,,
185,SCENE 3229 N. O,2,,,,,,,,,,
186,SCENE 3335 W. C,2,,,,,,,,,,
187,SCENE 3344 W VA,2,,,,,,,,,,
188,SCENE 335 N. WH,2,,,,,,,,,,
189,SCENE 340 S HAM,2,,,,,,,,,,
190,SCENE 3404 W WA,2,,,,,,,,,,
191,SCENE 3515 W BE,2,,,,,,,,,,
192,SCENE 3522 W JA,2,,,,,,,,,,
193,SCENE 3527 W 79,2,,,,,,,,,,
194,SCENE 3649 W. O,2,,,,,,,,,,
195,SCENE 3710 W PO,2,,,,,,,,,,
196,SCENE 3832 W. P,2,,,,,,,,,,
197,SCENE 400 E 87T,2,,,,,,,,,,
198,SCENE 412 W CHI,2,,,,,,,,,,
199,SCENE 4144 W. 4,2,,,,,,,,,,
200,SCENE 4211 S CH,2,,,,,,,,,,
201,SCENE 4211 W. 5,2,,,,,,,,,,
202,SCENE 4245 W AU,2,,,,,,,,,,
203,SCENE 4258 WEST,2,,,,,,,,,,
204,SCENE 4314 S WE,2,,,,,,,,,,
205,SCENE 447 WEST,2,,,,,,,,,,
206,SCENE 4500 SOUT,2,,,,,,,,,,
207,SCENE 4525 S FE,2,,,,,,,,,,
208,SCENE 4608 S. L,2,,,,,,,,,,
209,SCENE 4643 S FR,2,,,,,,,,,,
210,SCENE 4701 W. L,2,,,,,,,,,,
211,SCENE 4847 S VI,2,,,,,,,,,,
212,SCENE 494 INGRH,2,,,,,,,,,,
213,SCENE 4946 S ST,2,,,,,,,,,,
214,SCENE 503 GARFI,2,,,,,,,,,,
215,SCENE 5106 S CA,2,,,,,,,,,,
216,SCENE 5200 S WI,2,,,,,,,,,,
217,SCENE 5247 S FE,2,,,,,,,,,,
218,SCENE 5301 S MO,2,,,,,,,,,,
219,SCENE 5332 S. W,2,,,,,,,,,,
220,SCENE 540 W 56T,2,,,,,,,,,,
221,SCENE 5500 W CH,2,,,,,,,,,,
222,SCENE 5565 W. K,2,,,,,,,,,,
223,SCENE 5701 W. M,2,,,,,,,,,,
224,SCENE 5834 S. W,2,,,,,,,,,,
225,SCENE 5848 S NO,2,,,,,,,,,,
226,SCENE 5870 W. L,2,,,,,,,,,,
227,SCENE 6001 S. A,2,,,,,,,,,,
228,SCENE 6100 S. M,2,,,,,,,,,,
229,SCENE 614 E 101,2,,,,,,,,,,
230,SCENE 617 E 89T,2,,,,,,,,,,
231,SCENE 628 BOHLA,2,,,,,,,,,,
232,SCENE 6425 S LO,2,,,,,,,,,,
233,SCENE 6600 SOUT,2,,,,,,,,,,
234,SCENE 6659 S. S,2,,,,,,,,,,
235,SCENE 6701 SOUT,2,,,,,,,,,,
236,SCENE 6733 S. O,2,,,,,,,,,,
237,SCENE 6740 S. D,2,,,,,,,,,,
238,SCENE 6817 S IN,2,,,,,,,,,,
239,SCENE 7115 S. E,2,,,,,,,,,,
240,SCENE 735 TORRE,2,,,,,,,,,,
241,SCENE 7423 SOUT,2,,,,,,,,,,
242,SCENE 7555 S PH,2,,,,,,,,,,
243,SCENE 7609 SOUT,2,,,,,,,,,,
244,SCENE 7619 S. C,2,,,,,,,,,,
245,SCENE 765 TERRA,2,,,,,,,,,,
246,SCENE 7746 S. C,2,,,,,,,,,,
247,SCENE 7831 S CO,2,,,,,,,,,,
248,SCENE 7900 S ST,2,,,,,,,,,,
249,SCENE 7908 S. L,2,,,,,,,,,,
250,SCENE 8006 S BR,2,,,,,,,,,,
251,SCENE 8007 S. M,2,,,,,,,,,,
252,SCENE 8011 S SH,2,,,,,,,,,,
253,SCENE 8016 S WA,2,,,,,,,,,,
254,SCENE 8044 S. L,2,,,,,,,,,,
255,SCENE 810 W 59T,2,,,,,,,,,,
256,SCENE 8144 S TH,2,,,,,,,,,,
257,SCENE 819 W WAV,2,,,,,,,,,,
258,SCENE 8212 S HO,2,,,,,,,,,,
259,SCENE 826 GREEN,2,,,,,,,,,,
260,SCENE 832 W 53R,2,,,,,,,,,,
261,SCENE 856 W NEL,2,,,,,,,,,,
262,SCENE 9041 S. H,2,,,,,,,,,,
263,SCENE 9129 S. C,2,,,,,,,,,,
264,SCENE 913 W 9TH,2,,,,,,,,,,
265,SCENE 9223 S BL,2,,,,,,,,,,
266,SCENE 923 DAVIS,2,,,,,,,,,,
267,SCENE 9329 S ME,2,,,,,,,,,,
268,SCENE 948 WEST,2,,,,,,,,,,
269,SCENE RT 58 GOL,2,,,,,,,,,,
270,SCENE/6349 S EV,2,,,,,,,,,,
271,SCENE:   1 W. 5,2,,,,,,,,,,
272,SCENE:   4430 N,2,,,,,,,,,,
273,SCENE:  1308 SU,2,,,,,,,,,,
274,SCENE: 2001 W.,2,,,,,,,,,,
275,WOODLAWN HOSPIT,2,,,,,,,,,,
276,10012 S. PARNELL,1,,,,,,,,,,
277,1024 N. Monticello,1,,,,,,,,,,
278,10243 S. LAFAYETTE,1,,,,,,,,,,
279,11721 S. Halsted,1,,,,,,,,,,
280,12352 SOUTH UNION,1,,,,,,,,,,
281,13242 S. Corliss Ave.,1,,,,,,,,,,
282,15 WEST 107TH STREET,1,,,,,,,,,,
283,1504 W. 71ST STREET,1,,,,,,,,,,
284,159th and Marshfield,1,,,,,,,,,,
285,200 S. Oakley,1,,,,,,,,,,
286,2100 W. Adams Street,1,,,,,,,,,,
287,2121 W HARRISO,1,,,,,,,,,,
288,2446 S Sacramento,1,,,,,,,,,,
289,2650 W 64th street,1,,,,,,,,,,
290,"2719 W. Evergreen Street, 2nd floor",1,,,,,,,,,,
291,31 E. 42ND ST.,1,,,,,,,,,,
292,356,1,,,,,,,,,,
293,4317 SOUTH STATE STREET,1,,,,,,,,,,
294,4927 WEST MONROE AVENUE,1,,,,,,,,,,
295,"5002 S. Champlain, Apt. 1N",1,,,,,,,,,,
296,5002 WEST WASHINGTON,1,,,,,,,,,,
297,5436 W. 24TH S,1,,,,,,,,,,
298,5452 West LaMoyne,1,,,,,,,,,,
299,5501 w quincy,1,,,,,,,,,,
300,5700 S May,1,,,,,,,,,,
301,6900 SOUTH WENTWORTH,1,,,,,,,,,,
302,7200 W. 63rd,1,,,,,,,,,,
303,7300 N Rogers,1,,,,,,,,,,
304,7639 N. ASHLAND AVE,1,,,,,,,,,,
305,7715 S TROY,1,,,,,,,,,,
306,8027 s STEWART AVE,1,,,,,,,,,,
307,9900 S CRILLY RD,1,,,,,,,,,,
308,AUGUSTANA HOSPI,1,,,,,,,,,,
309,CHICAGO CENTER,1,,,,,,,,,,
310,CHRIST HOSPIRTA,1,,,,,,,,,,
311,COMMUNITY HOSPI,1,,,,,,,,,,
312,DOCTOR'S HOSPIT,1,,,,,,,,,,
313,FORKOSH MEMORIA,1,,,,,,,,,,
314,GARFIELD PARK C,1,,,,,,,,,,
315,HYDE PARK HOSPI,1,,,,,,,,,,
316,ILLINOIS STATE,1,,,,,,,,,,
318,LEYDEN COMMUNIT,1,,,,,,,,,,
319,LURIE CHILDREN',1,,,,,,,,,,
320,SCCENE 6115 S L,1,,,,,,,,,,
321,SCE4NE 14423 LI,1,,,,,,,,,,
322,SCEBE 523 E. 47,1,,,,,,,,,,
323,SCEBE 622 N AVE,1,,,,,,,,,,
324,SCEEN 7601 S. S,1,,,,,,,,,,
325,SCEN  225 W.111,1,,,,,,,,,,
326,SCENE---1420 W.,1,,,,,,,,,,
327,SCENE---2446 S.,1,,,,,,,,,,
328,SCENE---2609 S.,1,,,,,,,,,,
329,SCENE---2651 W.,1,,,,,,,,,,
330,SCENE---2701 E.,1,,,,,,,,,,
331,SCENE---3940 W.,1,,,,,,,,,,
332,SCENE---455 W.,1,,,,,,,,,,
333,SCENE---643 MAR,1,,,,,,,,,,
334,SCENE---946 N.,1,,,,,,,,,,
335,SCENE--1624 W.,1,,,,,,,,,,
336,SCENE--1634 S.,1,,,,,,,,,,
337,SCENE--450 E. 4,1,,,,,,,,,,
338,SCENE--639 W. 1,1,,,,,,,,,,
339,SCENE--7800 S.,1,,,,,,,,,,
340,SCENE-9322 S.HA,1,,,,,,,,,,
341,SCENE - 1938 SO,1,,,,,,,,,,
342,SCENE - 5241 S.,1,,,,,,,,,,
343,SCENE     2350,1,,,,,,,,,,
344,SCENE     48TH,1,,,,,,,,,,
345,SCENE    1829 N,1,,,,,,,,,,
346,SCENE    3838 W,1,,,,,,,,,,
347,SCENE    5050,1,,,,,,,,,,
348,SCENE    552  N,1,,,,,,,,,,
349,SCENE    7010 S,1,,,,,,,,,,
350,SCENE   1014,1,,,,,,,,,,
351,SCENE   1100 N.,1,,,,,,,,,,
352,SCENE   1441 W.,1,,,,,,,,,,
353,SCENE   209  N.,1,,,,,,,,,,
354,SCENE   2350 S.,1,,,,,,,,,,
355,SCENE   2931 W.,1,,,,,,,,,,
356,SCENE   4241 SO,1,,,,,,,,,,
357,SCENE   4728 S.,1,,,,,,,,,,
358,SCENE   5001 S.,1,,,,,,,,,,
359,SCENE   503 E M,1,,,,,,,,,,
360,SCENE   61 E 29,1,,,,,,,,,,
361,SCENE   6318 S.,1,,,,,,,,,,
362,SCENE   6442 S,1,,,,,,,,,,
363,SCENE   9237  S,1,,,,,,,,,,
364,SCENE   9320,1,,,,,,,,,,
365,SCENE   939 N.,1,,,,,,,,,,
366,SCENE  1016  N.,1,,,,,,,,,,
367,SCENE  10212 S,1,,,,,,,,,,
368,SCENE  11 E  36,1,,,,,,,,,,
369,SCENE  1115 EAS,1,,,,,,,,,,
370,SCENE  1154 N.,1,,,,,,,,,,
371,SCENE  121 W. 1,1,,,,,,,,,,
372,SCENE  125  W 1,1,,,,,,,,,,
373,SCENE  1258 N.,1,,,,,,,,,,
374,SCENE  13334  S,1,,,,,,,,,,
375,SCENE  134 W. 1,1,,,,,,,,,,
376,SCENE  1376  W,1,,,,,,,,,,
377,SCENE  1411 W S,1,,,,,,,,,,
378,SCENE  14436 CA,1,,,,,,,,,,
379,SCENE  1455   W,1,,,,,,,,,,
380,SCENE  14820 SO,1,,,,,,,,,,
381,SCENE  1521  N,1,,,,,,,,,,
382,SCENE  1527 WES,1,,,,,,,,,,
383,SCENE  15420  M,1,,,,,,,,,,
384,SCENE  15TH AND,1,,,,,,,,,,
385,SCENE  1641 W F,1,,,,,,,,,,
386,SCENE  1830 W O,1,,,,,,,,,,
387,SCENE  1915 S B,1,,,,,,,,,,
388,SCENE  1919 W P,1,,,,,,,,,,
389,SCENE  2008 W 7,1,,,,,,,,,,
390,SCENE  2011 W C,1,,,,,,,,,,
391,SCENE  2018  W,1,,,,,,,,,,
392,SCENE  2030 EAS,1,,,,,,,,,,
393,SCENE  209 N. L,1,,,,,,,,,,
394,SCENE  2104 N.,1,,,,,,,,,,
395,SCENE  220 N HO,1,,,,,,,,,,
396,SCENE  231  N.,1,,,,,,,,,,
397,SCENE  2315 N.,1,,,,,,,,,,
398,SCENE  2528  W.,1,,,,,,,,,,
399,SCENE  2564 S B,1,,,,,,,,,,
400,SCENE  2631 W.,1,,,,,,,,,,
401,SCENE  2633 W 5,1,,,,,,,,,,
402,SCENE  2700 S S,1,,,,,,,,,,
403,SCENE  2709  S,1,,,,,,,,,,
404,SCENE  2710 S S,1,,,,,,,,,,
405,SCENE  2849  W,1,,,,,,,,,,
406,SCENE  3 EAST 6,1,,,,,,,,,,
407,SCENE  300 W 55,1,,,,,,,,,,
408,SCENE  3013 PR,1,,,,,,,,,,
409,SCENE  3112  W.,1,,,,,,,,,,
410,SCENE  3120 S.,1,,,,,,,,,,
411,SCENE  31ST & H,1,,,,,,,,,,
412,SCENE  3536 S.,1,,,,,,,,,,
413,SCENE  358 E 11,1,,,,,,,,,,
414,SCENE  3801 W J,1,,,,,,,,,,
415,SCENE  3805 W O,1,,,,,,,,,,
416,SCENE  401 S.,1,,,,,,,,,,
417,SCENE  4010 W I,1,,,,,,,,,,
418,SCENE  4030 S I,1,,,,,,,,,,
419,SCENE  4126  W2,1,,,,,,,,,,
420,SCENE  4212   W,1,,,,,,,,,,
421,SCENE  4217 W.,1,,,,,,,,,,
422,SCENE  4250 S.,1,,,,,,,,,,
423,SCENE  426 S CI,1,,,,,,,,,,
424,SCENE  4431 W.,1,,,,,,,,,,
425,SCENE  4500 S W,1,,,,,,,,,,
426,SCENE  4707 N K,1,,,,,,,,,,
427,SCENE  500 WEST,1,,,,,,,,,,
428,SCENE  5301 S M,1,,,,,,,,,,
429,SCENE  5320   S,1,,,,,,,,,,
430,SCENE  5329 S.,1,,,,,,,,,,
431,SCENE  545 NO P,1,,,,,,,,,,
432,SCENE  5608 S T,1,,,,,,,,,,
433,SCENE  5838  N.,1,,,,,,,,,,
434,SCENE  587 DOUG,1,,,,,,,,,,
435,SCENE  5925 SOU,1,,,,,,,,,,
436,SCENE  5927 S.,1,,,,,,,,,,
437,SCENE  5931 S W,1,,,,,,,,,,
438,SCENE  6134 S F,1,,,,,,,,,,
439,SCENE  614 E 10,1,,,,,,,,,,
440,SCENE  6230 S I,1,,,,,,,,,,
441,SCENE  624 WEST,1,,,,,,,,,,
442,SCENE  6335 SOU,1,,,,,,,,,,
443,SCENE  6348 W C,1,,,,,,,,,,
444,SCENE  6410  S.,1,,,,,,,,,,
445,SCENE  6619 S.,1,,,,,,,,,,
446,SCENE  6635 S L,1,,,,,,,,,,
447,SCENE  6740 NOR,1,,,,,,,,,,
448,SCENE  6759 CON,1,,,,,,,,,,
449,SCENE  6825 S.,1,,,,,,,,,,
450,SCENE  6827 1/2,1,,,,,,,,,,
451,SCENE  7009 S V,1,,,,,,,,,,
452,SCENE  7256 S.,1,,,,,,,,,,
453,SCENE  7514 S W,1,,,,,,,,,,
454,SCENE  7941 S.,1,,,,,,,,,,
455,SCENE  7941 S.E,1,,,,,,,,,,
456,SCENE  8032  S,1,,,,,,,,,,
457,SCENE  8400 S S,1,,,,,,,,,,
458,SCENE  872 SACR,1,,,,,,,,,,
459,SCENE  904 W. V,1,,,,,,,,,,
460,SCENE  914 EAST,1,,,,,,,,,,
461,SCENE  925 N MO,1,,,,,,,,,,
462,SCENE  927 WEST,1,,,,,,,,,,
463,SCENE  947 ARNO,1,,,,,,,,,,
464,SCENE  9514 S.,1,,,,,,,,,,
465,SCENE  CHICAGO,1,,,,,,,,,,
466,SCENE  DUNDEE R,1,,,,,,,,,,
467,SCENE  FLOSSMOO,1,,,,,,,,,,
468,SCENE  GRAND AV,1,,,,,,,,,,
469,SCENE  I-94 470,1,,,,,,,,,,
470,SCENE  IOWA  AN,1,,,,,,,,,,
471,SCENE ^@% N. RI,1,,,,,,,,,,
472,SCENE 10 E. CLA,1,,,,,,,,,,
473,SCENE 10 JUDITH,1,,,,,,,,,,
474,SCENE 10 W PENN,1,,,,,,,,,,
475,SCENE 10 W. 113,1,,,,,,,,,,
476,SCENE 100 EAST,1,,,,,,,,,,
477,SCENE 100 N. 13,1,,,,,,,,,,
478,SCENE 1000 E. 1,1,,,,,,,,,,
479,SCENE 1000 E. 5,1,,,,,,,,,,
480,SCENE 1000 N. M,1,,,,,,,,,,
481,SCENE 1000 NORT,1,,,,,,,,,,
482,SCENE 10000 S P,1,,,,,,,,,,
483,SCENE 10000 W O,1,,,,,,,,,,
484,SCENE 1001 S. K,1,,,,,,,,,,
485,SCENE 1002 N AV,1,,,,,,,,,,
486,SCENE 10028 S P,1,,,,,,,,,,
487,SCENE 10032 S.,1,,,,,,,,,,
488,SCENE 10054 SOU,1,,,,,,,,,,
489,SCENE 10055 S P,1,,,,,,,,,,
490,SCENE 1006 SOUT,1,,,,,,,,,,
491,SCENE 1007 BURN,1,,,,,,,,,,
492,SCENE 1007 W 63,1,,,,,,,,,,
493,SCENE 1009 W 10,1,,,,,,,,,,
494,SCENE 101 S PAR,1,,,,,,,,,,
495,SCENE 101 W. 10,1,,,,,,,,,,
496,SCENE 1010 N MA,1,,,,,,,,,,
497,SCENE 1010 SOUT,1,,,,,,,,,,
498,SCENE 1011 N LE,1,,,,,,,,,,
499,SCENE 10133 SOU,1,,,,,,,,,,
500,SCENE 10134 S.,1,,,,,,,,,,
501,SCENE 10146 S E,1,,,,,,,,,,
502,SCENE 10146 S.,1,,,,,,,,,,
503,SCENE 1015 HONE,1,,,,,,,,,,
504,SCENE 10155 S.,1,,,,,,,,,,
505,SCENE 1017 S. 1,1,,,,,,,,,,
506,SCENE 1018 EAST,1,,,,,,,,,,
507,SCENE 10191 STA,1,,,,,,,,,,
508,SCENE 102 E 46T,1,,,,,,,,,,
509,SCENE 102 E 50T,1,,,,,,,,,,
510,SCENE 102 E. 46,1,,,,,,,,,,
511,SCENE 1020 W BE,1,,,,,,,,,,
512,SCENE 1020 W LA,1,,,,,,,,,,
513,SCENE 10200 SOU,1,,,,,,,,,,
514,SCENE 10202 S.,1,,,,,,,,,,
515,SCENE 10207 OGL,1,,,,,,,,,,
516,SCENE 10210 S G,1,,,,,,,,,,
517,SCENE 1022 W 10,1,,,,,,,,,,
518,SCENE 10220 S M,1,,,,,,,,,,
519,SCENE 1023  E 4,1,,,,,,,,,,
520,SCENE 1023 E. 4,1,,,,,,,,,,
521,SCENE 1023 N PU,1,,,,,,,,,,
522,SCENE 1024 BELL,1,,,,,,,,,,
523,SCENE 1024 CLAR,1,,,,,,,,,,
524,SCENE 1024 N. S,1,,,,,,,,,,
525,SCENE 1025 N CE,1,,,,,,,,,,
526,SCENE 10251 S.,1,,,,,,,,,,
527,SCENE 1026 N. L,1,,,,,,,,,,
528,SCENE 1026 W MA,1,,,,,,,,,,
529,SCENE 1026 W MO,1,,,,,,,,,,
530,SCENE 1026 W. 1,1,,,,,,,,,,
531,SCENE 102ND AND,1,,,,,,,,,,
532,SCENE 1030 E. 1,1,,,,,,,,,,
533,SCENE 1030 N AV,1,,,,,,,,,,
534,SCENE 1030 W 75,1,,,,,,,,,,
535,SCENE 10300 S D,1,,,,,,,,,,
536,SCENE 10301 S.,1,,,,,,,,,,
537,SCENE 1031 SIBL,1,,,,,,,,,,
538,SCENE 1034 E. 7,1,,,,,,,,,,
539,SCENE 1035 W. 5,1,,,,,,,,,,
540,SCENE 10354 S A,1,,,,,,,,,,
541,SCENE 10358 S W,1,,,,,,,,,,
542,SCENE 1036 W GA,1,,,,,,,,,,
543,SCENE 1038 W. B,1,,,,,,,,,,
544,SCENE 1039 DARR,1,,,,,,,,,,
545,SCENE 104 S MAR,1,,,,,,,,,,
546,SCENE 1040 W 90,1,,,,,,,,,,
547,SCENE 1040 W HO,1,,,,,,,,,,
548,SCENE 1042 E. 8,1,,,,,,,,,,
549,SCENE 1044 W 48,1,,,,,,,,,,
550,SCENE 10459 S W,1,,,,,,,,,,
551,SCENE 1046 W 61,1,,,,,,,,,,
552,SCENE 105 E 42N,1,,,,,,,,,,
553,SCENE 105 E DEL,1,,,,,,,,,,
554,SCENE 105 EAST,1,,,,,,,,,,
555,SCENE 105 S. AS,1,,,,,,,,,,
556,SCENE 105 W 102,1,,,,,,,,,,
557,SCENE 105 W 116,1,,,,,,,,,,
558,SCENE 1050  N,1,,,,,,,,,,
559,SCENE 1050 S 6T,1,,,,,,,,,,
560,SCENE 1050 W 14,1,,,,,,,,,,
561,SCENE 10500 CRO,1,,,,,,,,,,
562,SCENE 10501 S S,1,,,,,,,,,,
563,SCENE 10504 S.,1,,,,,,,,,,
564,SCENE 1051 WARW,1,,,,,,,,,,
565,SCENE 1051 WEST,1,,,,,,,,,,
566,SCENE 10526 S L,1,,,,,,,,,,
567,SCENE 10528 S H,1,,,,,,,,,,
568,SCENE 10528 S P,1,,,,,,,,,,
569,SCENE 10531 S O,1,,,,,,,,,,
570,SCENE 10539 S P,1,,,,,,,,,,
571,SCENE 10552 S.,1,,,,,,,,,,
572,SCENE 10554 S A,1,,,,,,,,,,
573,SCENE 10554 S E,1,,,,,,,,,,
574,SCENE 10555 S E,1,,,,,,,,,,
575,SCENE 10555 S.,1,,,,,,,,,,
576,SCENE 1058 N. L,1,,,,,,,,,,
577,SCENE 106 E 140,1,,,,,,,,,,
578,SCENE 106 N. KI,1,,,,,,,,,,
579,SCENE 106 W 91S,1,,,,,,,,,,
580,SCENE 1060 E 73,1,,,,,,,,,,
581,SCENE 10603 S H,1,,,,,,,,,,
582,SCENE 10611 S L,1,,,,,,,,,,
583,SCENE 10618 S.,1,,,,,,,,,,
584,SCENE 10624 SOU,1,,,,,,,,,,
585,SCENE 1063 W GR,1,,,,,,,,,,
586,SCENE 10635 W W,1,,,,,,,,,,
587,SCENE 10643 S I,1,,,,,,,,,,
588,SCENE 10659 S.,1,,,,,,,,,,
589,SCENE 106TH & C,1,,,,,,,,,,
590,SCENE 10704 S M,1,,,,,,,,,,
591,SCENE 10705 SOU,1,,,,,,,,,,
592,SCENE 10708 BEN,1,,,,,,,,,,
593,SCENE 10716 S A,1,,,,,,,,,,
594,SCENE 10716 S.,1,,,,,,,,,,
595,SCENE 10717 S.,1,,,,,,,,,,
596,SCENE 10718 S T,1,,,,,,,,,,
597,SCENE 10729 S.,1,,,,,,,,,,
598,SCENE 10737 S E,1,,,,,,,,,,
599,SCENE 10739 S P,1,,,,,,,,,,
600,SCENE 1074 N HE,1,,,,,,,,,,
601,SCENE 10752 S.,1,,,,,,,,,,
602,SCENE 10753 S H,1,,,,,,,,,,
603,SCENE 10753 S P,1,,,,,,,,,,
604,SCENE 10755 S U,1,,,,,,,,,,
605,SCENE 10768 S L,1,,,,,,,,,,
606,SCENE 10768 S.,1,,,,,,,,,,
607,SCENE 108 S PAR,1,,,,,,,,,,
608,SCENE 108 W 157,1,,,,,,,,,,
609,SCENE 10805 S G,1,,,,,,,,,,
610,SCENE 10806 S P,1,,,,,,,,,,
611,SCENE 10855 S W,1,,,,,,,,,,
612,SCENE 10865 S C,1,,,,,,,,,,
613,SCENE 109 EGGLE,1,,,,,,,,,,
614,SCENE 109 SOUTH,1,,,,,,,,,,
615,SCENE 109 W HUB,1,,,,,,,,,,
616,SCENE 10907 S H,1,,,,,,,,,,
617,SCENE 10910 S W,1,,,,,,,,,,
618,SCENE 10945 S W,1,,,,,,,,,,
619,SCENE 10946 S.,1,,,,,,,,,,
620,SCENE 10TH AVEN,1,,,,,,,,,,
621,SCENE 11 SOUTH,1,,,,,,,,,,
622,SCENE 11000 S.,1,,,,,,,,,,
623,SCENE 1101 BOHL,1,,,,,,,,,,
624,SCENE 11010 S.,1,,,,,,,,,,
625,SCENE 11016 S V,1,,,,,,,,,,
626,SCENE 1103 N NO,1,,,,,,,,,,
627,SCENE 11030 S N,1,,,,,,,,,,
628,SCENE 1104 N LA,1,,,,,,,,,,
629,SCENE 1106 N WA,1,,,,,,,,,,
630,SCENE 1106 NORT,1,,,,,,,,,,
631,SCENE 1107 S. M,1,,,,,,,,,,
632,SCENE 1108 S LY,1,,,,,,,,,,
633,SCENE 111 W. 75,1,,,,,,,,,,
634,SCENE 1110 E 82,1,,,,,,,,,,
635,SCENE 11114 S T,1,,,,,,,,,,
636,SCENE 11115 S.,1,,,,,,,,,,
637,SCENE 111346 S,1,,,,,,,,,,
638,SCENE 1114 S ST,1,,,,,,,,,,
639,SCENE 11143 S N,1,,,,,,,,,,
640,SCENE 11146 LOW,1,,,,,,,,,,
641,SCENE 1115 W 11,1,,,,,,,,,,
642,SCENE 11150 S A,1,,,,,,,,,,
643,SCENE 1116 E 82,1,,,,,,,,,,
644,SCENE 1117 W  1,1,,,,,,,,,,
645,SCENE 1117 W WI,1,,,,,,,,,,
646,SCENE 1119 N KE,1,,,,,,,,,,
647,SCENE 112 E. 72,1,,,,,,,,,,
648,SCENE 112 FREDE,1,,,,,,,,,,
649,SCENE 112 MARAN,1,,,,,,,,,,
650,SCENE 1120 NORT,1,,,,,,,,,,
651,SCENE 1120 W MA,1,,,,,,,,,,
652,SCENE 11209 SOU,1,,,,,,,,,,
653,SCENE 1121 EAST,1,,,,,,,,,,
654,SCENE 1121 W 78,1,,,,,,,,,,
655,SCENE 1121 W. 1,1,,,,,,,,,,
656,SCENE 11221 S E,1,,,,,,,,,,
657,SCENE 11222 S I,1,,,,,,,,,,
658,SCENE 11235 S I,1,,,,,,,,,,
659,SCENE 1125 N CH,1,,,,,,,,,,
660,SCENE 1125 N LO,1,,,,,,,,,,
661,SCENE 1125 S TR,1,,,,,,,,,,
662,SCENE 1125 W 56,1,,,,,,,,,,
663,SCENE 1125 W 59,1,,,,,,,,,,
664,SCENE 11250 S A,1,,,,,,,,,,
665,SCENE 11259 SOU,1,,,,,,,,,,
666,SCENE 1126 N KE,1,,,,,,,,,,
667,SCENE 1127 W 47,1,,,,,,,,,,
668,SCENE 11280 DIN,1,,,,,,,,,,
669,SCENE 1130 N DE,1,,,,,,,,,,
670,SCENE 11300 E.,1,,,,,,,,,,
671,SCENE 11300 S W,1,,,,,,,,,,
672,SCENE 1131 NORT,1,,,,,,,,,,
673,SCENE 11311 S.,1,,,,,,,,,,
674,SCENE 11318 S.,1,,,,,,,,,,
675,SCENE 11320 S V,1,,,,,,,,,,
676,SCENE 11340 S E,1,,,,,,,,,,
677,SCENE 1135  S.,1,,,,,,,,,,
678,SCENE 1135 W 18,1,,,,,,,,,,
679,SCENE 11352 S E,1,,,,,,,,,,
680,SCENE 11358 S F,1,,,,,,,,,,
681,SCENE 11358 S W,1,,,,,,,,,,
682,SCENE 11358 S.,1,,,,,,,,,,
